Exp,Pedi,Repl,Harvest,plantHt,earHt,testWt,plotWt,Yield,StatID,Year,Month,tempMin,tempMax,tempMean,tempMedian,dewMin,dewMax,dewMean,dewMedian,humidMin,humidMax,humidMean,humidMedian,solarMin,solarMax,solarMean,solarMedian,rainMin,rainMax,rainMean,rainMedian,windSpdMin,windSpdMax,windSpdMean,windSpdMedian,windDirMin,windDirMax,windDirMean,windDirMedian,windGustMin,windGustMax,windGustMean,windGustMedian,soilTempMin,soilTempMax,soilTempMean,soilTempMedian,soilMoistMin,soilMoistMax,soilMoistMean,soilMoistMedian
GAH1,???TX205/LH195,NA,8/26/2015,210,90,63.8,16.93,160.48591194663,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,???TX205/LH195,NA,8/25/2015,210,100,59,16.69,157.29634698024,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,(LAMA2002-35-2-B-B-B-B_CG44)-1-3-B-1-1-B24-B5-B16/LH195,NA,8/26/2015,160,70,53.5,17.35,161.99548959349,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,(LAMA2002-35-2-B-B-B-B_CG44)-1-3-B-1-1-B24-B5-B16/LH195,NA,8/26/2015,180,90,62.5,16.47,154.68146260769,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,(LAMA2002-35-2-B-B-B-B_CG44)-1-3-B-1-1-B24-B5-B16/TX777,NA,8/26/2015,160,80,55.6,14.41,133.7553739816,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,(LAMA2002-35-2-B-B-B-B_CG44)-1-3-B-1-1-B24-B5-B16/TX777,NA,8/26/2015,160,80,62.2,17.76,165.82362508245,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,(TX739);LAMA2002-10-1-B-B-B-B3-B7ORANGE-B6/LH195,NA,8/25/2015,180,90,61.8,16.46,148.63493290418,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,(TX739);LAMA2002-10-1-B-B-B-B3-B7ORANGE-B6/LH195,NA,8/26/2015,190,90,57.7,15.83,146.58903053834,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,2369/PHZ51,NA,8/26/2015,200,100,59.7,17.99,171.32265206917,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,2369/PHZ51,NA,8/25/2015,200,100,60.2,18.13,171.066434825,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,B104/LH82,NA,8/25/2015,160,60,60.9,15.04,140.42721403378,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,B104/LH82,NA,8/25/2015,170,60,62.5,10.95,102.95922286803,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,B104/PHZ51,NA,8/26/2015,200,90,68.6,14.78,140.75312938201,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,B104/PHZ51,NA,8/25/2015,190,90,53.8,10.2,97.69570095304,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,B106/LH82,NA,8/26/2015,160,70,60.2,12.24,116.02761737901,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,B106/LH82,NA,8/25/2015,160,70,59.9,13.52,126.8277550381,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,B106/PHZ51,NA,8/25/2015,220,110,64.7,13.66,129.33864019563,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,B106/PHZ51,NA,8/25/2015,220,90,61.8,11.4,107.19042380781,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,B119/LH82,NA,8/26/2015,160,80,69.1,11.12,105.5325733075,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,B119/LH82,NA,8/26/2015,150,60,60.9,14.17,134.32282175332,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,B119/PHZ51,NA,8/25/2015,180,90,61.3,9.03,85.10401517265,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,B119/PHZ51,NA,8/26/2015,210,130,65.7,11.36,108.05923916784,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,B14A/C103,NA,8/25/2015,200,110,59.3,10.26,96.58381893452,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
GAH1,B14A/C103,NA,8/26/2015,240,120,65.2,10.12,96.37494379878,8427,2015,4,12.8,32.5,22.790625,22.5,-0.4,22.7,16.01265625,17.1,19,100,70.56390625,75.65,0,1036,340.621875,216.5,0,12.1,0.18125,0,0.28,3.89,1.0425625,0.83,0,360,198.3421875,192.5,1.11,11.11,3.422140625,3.06,17.1,28.6,22.43921875,22.3,7.5,48.8,13.78953125,13.7
