time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1523895138        0                 7772              0                 35808935          37684618          0                 2                 1931847330399     135573409846      0                 768              
1523895149        0                 7772              0                 35811695          37687375          0                 2                 1931848859478     135590764284      0                 768              
1523895159        0                 7772              0                 35811770          37687448          0                 2                 1931848904164     135590789668      0                 768              
1523895169        0                 7772              0                 35811880          37687556          0                 2                 1931848953339     135590819724      0                 768              
1523895179        0                 7772              0                 35811953          37687627          0                 2                 1931848994022     135590844692      0                 768              
1523895189        0                 7772              0                 35812026          37687698          0                 2                 1931849036983     135590869660      0                 768              
1523895200        0                 7772              0                 35812103          37687773          0                 2                 1931849083375     135590895604      0                 768              
1523895210        0                 7772              0                 35812188          37687856          0                 2                 1931849129917     135590923500      0                 768              
1523895220        0                 7772              0                 35812266          37687932          0                 2                 1931849180907     135590953627      0                 768              
1523895230        0                 7772              0                 35812357          37688021          0                 2                 1931849229462     135590980107      0                 768              
1523895240        0                 7772              0                 35812430          37688092          0                 2                 1931849275624     135591005075      0                 768              
1523895250        0                 7772              0                 35813247          37688907          0                 2                 1931849491144     135591173339      0                 768              
1523895261        0                 7772              0                 35813323          37688981          0                 2                 1931849538863     135591199331      0                 768              
1523895271        0                 7772              0                 35813399          37689055          0                 2                 1931849588860     135591225323      0                 768              
1523895281        0                 7772              0                 35813475          37689129          0                 2                 1931849641135     135591251315      0                 768              
1523895291        0                 7772              0                 35813564          37689216          0                 2                 1931849690497     135591277307      0                 768              
1523895301        0                 7772              0                 35813640          37689290          0                 2                 1931849743234     135591303299      0                 768              
1523895311        0                 7772              0                 35813719          37689367          0                 2                 1931849799345     135591330315      0                 768              
1523895322        0                 7772              0                 35814538          37690184          0                 2                 1931850018975     135591498963      0                 768              
1523895332        0                 7772              0                 35814615          37690259          0                 2                 1931850070684     135591525147      0                 768              
1523895342        0                 7772              0                 35814698          37690340          0                 2                 1931850124672     135591551715      0                 768              
1523895352        0                 7772              0                 35814784          37690424          0                 2                 1931850176515     135591578347      0                 768              
1523895362        0                 7772              0                 35814860          37690498          0                 2                 1931850230638     135591604339      0                 768              
1523895372        0                 7772              0                 35814936          37690572          0                 2                 1931850282944     135591630331      0                 768              
1523895383        0                 7772              0                 35815012          37690646          0                 2                 1931850333433     135591656323      0                 768              
1523895393        0                 7772              0                 35815830          37691462          0                 2                 1931850552409     135591824779      0                 768              
1523895403        0                 7772              0                 35815921          37691551          0                 2                 1931850603360     135591851731      0                 768              
1523895413        0                 7772              0                 35815998          37691626          0                 2                 1931850656590     135591877787      0                 768              
1523895423        0                 7772              0                 35816077          37691703          0                 2                 1931850712914     135591908532      0                 768              
1523895433        0                 7772              0                 35816155          37691779          0                 2                 1931850766664     135591934700      0                 768              
1523895444        0                 7772              0                 35816228          37691850          0                 2                 1931850817441     135591959668      0                 768              
1523895454        0                 7772              0                 35816301          37691921          0                 2                 1931850870497     135591984636      0                 768              
1523895464        0                 7772              0                 35816390          37692008          0                 2                 1931850921735     135592010628      0                 768              
1523895474        0                 7772              0                 35817213          37692829          0                 2                 1931851143251     135592179596      0                 768              
1523895484        0                 7772              0                 35817286          37692900          0                 2                 1931851194950     135592204564      0                 768              
1523895494        0                 7772              0                 35817359          37692971          0                 2                 1931851248927     135592229532      0                 768              
1523895505        0                 7772              0                 35817432          37693042          0                 2                 1931851305183     135592254500      0                 768              
1523895515        0                 7772              0                 35817505          37693113          0                 2                 1931851359622     135592279468      0                 768              
1523895525        0                 7772              0                 35817594          37693200          0                 2                 1931851408148     135592305460      0                 768              
1523895535        0                 7772              0                 35817667          37693271          0                 2                 1931851458953     135592330428      0                 768              
1523895545        0                 7772              0                 35818486          37694088          0                 2                 1931851671373     135592499076      0                 768              
1523895556        0                 7772              0                 35818559          37694159          0                 2                 1931851718544     135592524044      0                 768              
1523895566        0                 7772              0                 35818632          37694230          0                 2                 1931851767994     135592549012      0                 768              
1523895576        0                 7772              0                 35818708          37694304          0                 2                 1931851816723     135592575004      0                 768              
1523895586        0                 7772              0                 35818800          37694394          0                 2                 1931851867731     135592602020      0                 768              
1523895596        0                 7772              0                 35818873          37694465          0                 2                 1931851915825     135592626988      0                 768              
1523895606        0                 7772              0                 35818946          37694536          0                 2                 1931851966197     135592651956      0                 768              
1523895768        0                 7772              0                 35821320          37696913          0                 2                 1931852519992     135593118168      0                 768              
1523895779        0                 7772              0                 35821395          37696987          0                 2                 1931852571225     135593143744      0                 768              
1523895789        0                 7772              0                 35821471          37697061          0                 2                 1931852621337     135593169736      0                 768              
1523895799        0                 7772              0                 35821544          37697132          0                 2                 1931852672632     135593194704      0                 768              
1523895809        0                 7772              0                 35821617          37697203          0                 2                 1931852722110     135593219672      0                 768              
1523895819        0                 7772              0                 35821690          37697274          0                 2                 1931852773867     135593244640      0                 768              
1523895830        0                 7772              0                 35821782          37697364          0                 2                 1931852828999     135593271656      0                 768              
1523895840        0                 7772              0                 35821858          37697438          0                 2                 1931852882313     135593297648      0                 768              
1523895850        0                 7772              0                 35822681          37698259          0                 2                 1931853104809     135593466616      0                 768              
1523895860        0                 7772              0                 35822757          37698333          0                 2                 1931853158584     135593492608      0                 768              
1523895870        0                 7772              0                 35822830          37698404          0                 2                 1931853205349     135593517576      0                 768              
1523895880        0                 7772              0                 35822903          37698475          0                 2                 1931853254393     135593542544      0                 768              
1523895891        0                 7772              0                 35822997          37698567          0                 2                 1931853303292     135593570048      0                 768              
1523895901        0                 7772              0                 35823073          37698641          0                 2                 1931853353894     135593596040      0                 768              
1523895911        0                 7772              0                 35823149          37698715          0                 2                 1931853406775     135593622032      0                 768              
1523895921        0                 7772              0                 35823967          37699531          0                 2                 1931853624047     135593790488      0                 768              
1523895931        0                 7772              0                 35824043          37699605          0                 2                 1931853677389     135593816480      0                 768              
1523895941        0                 7772              0                 35824116          37699676          0                 2                 1931853731914     135593841448      0                 768              
1523895952        0                 7772              0                 35824212          37699770          0                 2                 1931853792078     135593869368      0                 768              
1523895963        0                 7772              0                 35824281          37699836          0                 2                 1931853840703     135593893240      0                 768              
1523895973        0                 7772              0                 35824357          37699911          0                 2                 1931853894968     135593919424      0                 768              
1523895984        0                 7772              0                 35824430          37699982          0                 2                 1931853950415     135593944392      0                 768              
1523895994        0                 7772              0                 35825247          37700797          0                 2                 1931854174797     135594112208      0                 768              
1523896004        0                 7772              0                 35825338          37700886          0                 2                 1931854227706     135594139160      0                 768              
1523896014        0                 7772              0                 35825415          37700961          0                 2                 1931854282894     135594165216      0                 768              
1523896024        0                 7772              0                 35825488          37701032          0                 2                 1931854339265     135594190184      0                 768              
1523896035        0                 7772              0                 35825561          37701103          0                 2                 1931854393819     135594215152      0                 768              
1523896045        0                 7772              0                 35825637          37701177          0                 2                 1931854451747     135594241144      0                 768              
1523896055        0                 7772              0                 35825710          37701248          0                 2                 1931854506761     135594266112      0                 768              
1523896065        0                 7772              0                 35825802          37701338          0                 2                 1931854556958     135594293128      0                 768              
1523896075        0                 7772              0                 35826628          37702162          0                 2                 1931854777434     135594463120      0                 768              
1523896085        0                 7772              0                 35826701          37702233          0                 2                 1931854826997     135594488088      0                 768              
1523896096        0                 7772              0                 35826780          37702310          0                 2                 1931854881039     135594515104      0                 768              
1523896106        0                 7772              0                 35826853          37702381          0                 2                 1931854931064     135594540072      0                 768              
1523896116        0                 7772              0                 35826929          37702455          0                 2                 1931854980368     135594566064      0                 768              
1523896126        0                 7772              0                 35827018          37702542          0                 2                 1931855030855     135594592056      0                 768              
1523896136        0                 7772              0                 35827094          37702616          0                 2                 1931855084717     135594618048      0                 768              
1523896146        0                 7772              0                 35827910          37703430          0                 2                 1931855302098     135594785672      0                 768              
1523896157        0                 7772              0                 35827983          37703501          0                 2                 1931855355325     135594810640      0                 768              
1523896167        0                 7772              0                 35828059          37703575          0                 2                 1931855403735     135594836632      0                 768              
1523896177        0                 7772              0                 35828132          37703646          0                 2                 1931855453328     135594861600      0                 768              
1523896187        0                 7772              0                 35828221          37703733          0                 2                 1931855505199     135594887592      0                 768              
1523896197        0                 7772              0                 35828297          37703807          0                 2                 1931855556349     135594913584      0                 768              
1523896208        0                 7772              0                 35828374          37703882          0                 2                 1931855609690     135594943687      0                 768              
1523896218        0                 7772              0                 35829203          37704709          0                 2                 1931855838128     135595114287      0                 768              
1523896228        0                 7772              0                 35829276          37704780          0                 2                 1931855890923     135595139255      0                 768              
1523896238        0                 7772              0                 35829349          37704851          0                 2                 1931855945996     135595164223      0                 768              
1523896248        0                 7772              0                 35829438          37704938          0                 2                 1931855999251     135595190215      0                 768              
1523896258        0                 7772              0                 35829514          37705012          0                 2                 1931856047689     135595216207      0                 768              
1523896269        0                 7772              0                 35829587          37705083          0                 2                 1931856097310     135595241175      0                 768              
1523896279        0                 7772              0                 35829660          37705154          0                 2                 1931856145114     135595266143      0                 768              
1523896289        0                 7772              0                 35829735          37705227          0                 2                 1931856195852     135595291495      0                 768              
1523896299        0                 7772              0                 35830556          37706046          0                 2                 1931856415765     135595460079      0                 768              
1523896309        0                 7772              0                 35830645          37706133          0                 2                 1931856466309     135595486071      0                 768              
1523896319        0                 7772              0                 35830718          37706204          0                 2                 1931856519132     135595511039      0                 768              
1523896330        0                 7772              0                 35830791          37706275          0                 2                 1931856574234     135595536007      0                 768              
1523896340        0                 7772              0                 35830867          37706349          0                 2                 1931856628615     135595561999      0                 768              
1523896350        0                 7772              0                 35830940          37706420          0                 2                 1931856684181     135595586967      0                 768              
1523896360        0                 7772              0                 35831013          37706491          0                 2                 1931856742025     135595611935      0                 768              
