TIMESTAMP        work-RQ          work-RD          work-WR          
1523895138 323674 214393409060 6404402627
1523895149 323758 214393836087 6404807506
1523895159 323806 214393846789 6404815145
1523895169 323854 214393857491 6404822774
1523895179 323902 214393868193 6404830403
1523895189 323950 214393878895 6404838033
1523895199 323998 214393889597 6404845662
1523895210 324046 214393900301 6404853292
1523895220 324094 214393911005 6404860932
1523895230 324142 214393921709 6404868563
1523895240 324190 214393932413 6404876193
1523895250 324240 214393943117 6404883824
1523895261 324290 214393953821 6404891454
1523895271 324340 214393964525 6404899084
1523895281 324390 214393975229 6404906715
1523895291 324438 214393985933 6404914346
1523895301 324488 214393996637 6404921976
1523895311 324540 214394007341 6404929607
1523895322 324590 214394018045 6404937238
1523895332 324640 214394028749 6404944869
1523895342 324690 214394039453 6404952500
1523895352 324740 214394050159 6404960132
1523895362 324790 214394060865 6404967764
1523895372 324840 214394071571 6404975396
1523895383 324890 214394082277 6404983028
1523895393 324940 214394092983 6404990660
1523895403 324990 214394103689 6404998292
1523895413 325040 214394114395 6405005923
1523895423 325090 214394125101 6405013565
1523895433 325138 214394135807 6405021197
1523895444 325186 214394146513 6405028829
1523895454 325234 214394157219 6405036460
1523895464 325282 214394167925 6405044091
1523895474 325330 214394178631 6405051723
1523895484 325378 214394189337 6405059354
1523895494 325426 214394200043 6405066986
1523895505 325474 214394210749 6405074618
1523895515 325522 214394221455 6405082250
1523895525 325570 214394232161 6405089882
1523895535 325618 214394242867 6405097514
1523895545 325666 214394253573 6405105146
1523895556 325716 214394264279 6405112778
1523895566 325764 214394274985 6405120410
1523895576 325814 214394285691 6405128042
1523895586 325864 214394296397 6405135673
1523895596 325912 214394307103 6405143304
1523895606 325960 214394317809 6405150936
1523895768 326011 214394328515 6405158579
1523895779 326060 214394339221 6405166210
1523895789 326110 214394349927 6405173842
1523895799 326158 214394360633 6405181474
1523895809 326206 214394371339 6405189106
1523895819 326254 214394382045 6405196738
1523895830 326304 214394392751 6405204369
1523895840 326354 214394403457 6405212000
1523895850 326402 214394414163 6405219632
1523895860 326452 214394424869 6405227263
1523895870 326500 214394435575 6405234895
1523895880 326548 214394446281 6405242527
1523895891 326598 214394456987 6405250159
1523895901 326648 214394467693 6405257791
1523895911 326698 214394478399 6405265423
1523895921 326748 214394489105 6405273054
1523895931 326798 214394499811 6405280686
1523895941 326846 214394510517 6405288317
1523895952 326896 214394521223 6405295949
1523895963 326944 214394531929 6405303581
1523895973 326994 214394542635 6405311212
1523895983 327042 214394553341 6405318844
1523895994 327090 214394564047 6405326476
1523896004 327140 214394574753 6405334108
1523896014 327190 214394585459 6405341740
1523896024 327238 214394596165 6405349372
1523896035 327286 214394606871 6405357003
1523896045 327336 214394617577 6405364634
1523896055 327384 214394628285 6405372266
1523896065 327434 214394638993 6405379899
1523896075 327484 214394649701 6405387532
1523896085 327532 214394660409 6405395165
1523896096 327584 214394671117 6405402798
1523896106 327632 214394681825 6405410431
1523896116 327682 214394692533 6405418064
1523896126 327730 214394703241 6405425697
1523896136 327780 214394713949 6405433330
1523896146 327828 214394724657 6405440962
1523896157 327876 214394735365 6405448595
1523896167 327926 214394746073 6405456228
1523896177 327974 214394756781 6405463860
1523896187 328022 214394767489 6405471493
1523896197 328072 214394778197 6405479126
1523896207 328120 214394788905 6405486770
1523896218 328170 214394799613 6405494403
1523896228 328218 214394810321 6405502035
1523896238 328266 214394821029 6405509667
1523896248 328314 214394831737 6405517300
1523896258 328364 214394842445 6405524933
1523896268 328412 214394853153 6405532566
1523896279 328460 214394863861 6405540198
1523896289 328508 214394874569 6405547831
1523896299 328556 214394885277 6405555464
1523896309 328604 214394895985 6405563097
1523896319 328652 214394906693 6405570730
1523896330 328700 214394917401 6405578363
1523896340 328750 214394928109 6405585998
1523896350 328798 214394938817 6405593630
1523896360 328846 214394949525 6405601263
1523896370 328894 214394960233 6405608895
1523896380 328942 214394970941 6405616528
1523896391 328992 214394981649 6405624161
1523896401 329040 214394992357 6405631793
1523896411 329088 214395003065 6405639426
1523896421 329136 214395013773 6405647059
1523896431 329184 214395024481 6405654692
1523896441 329232 214395035189 6405662325
1523896452 329280 214395045897 6405669958
1523896462 329328 214395056605 6405677591
1523896472 329374 214395067313 6405685224
1523896482 329422 214395078021 6405692857
1523896492 329470 214395088729 6405700490
1523896503 329516 214395099437 6405708123
1523896513 329566 214395110145 6405715756
