TIMESTAMP        work-RQ          work-RD          work-WR          
1518729240 407205 14777744150 3914415981
1518729250 407294 14780636895 3917381304
1518729260 407340 14780647595 3917388940
1518729270 407386 14780658295 3917396576
1518729281 407434 14780668995 3917404212
1518729291 407482 14780679695 3917411848
1518729301 407530 14780690395 3917419484
1518729311 407578 14780701097 3917427121
1518729321 407626 14780711799 3917434758
1518729331 407674 14780722501 3917442395
1518729341 407722 14780733203 3917450032
1518729352 407770 14780743905 3917457669
1518729362 407818 14780754607 3917465306
1518729372 407866 14780765309 3917472943
1518729382 407916 14780776011 3917480580
1518729392 407964 14780786713 3917488217
1518729402 408012 14780797415 3917495854
1518729412 408060 14780808117 3917503491
1518729423 408108 14780818819 3917511139
1518729433 408156 14780829521 3917518776
1518729443 408204 14780840223 3917526413
1518729453 408252 14780850925 3917534050
1518729463 408300 14780861627 3917541687
1518729473 408350 14780872329 3917549324
1518729483 408398 14780883031 3917556961
1518729494 408446 14780893733 3917564598
1518729504 408494 14780904435 3917572235
1518729514 408544 14780915137 3917579872
1518729524 408592 14780925839 3917587509
1518729534 408640 14780936541 3917595146
1518729545 408688 14780947243 3917602783
1518729555 408735 14780957945 3917610420
1518729565 408783 14780968647 3917618057
1518729575 408863 14780979349 3932539214
1518729585 408911 14780990051 3957370303
1518729595 408959 14781000753 3983485270
1518729605 409007 14781011455 4008095349
1518729616 409055 14781022157 4033155052
1518729626 409103 14781032859 4057661707
1518729636 409151 14781043561 4082556657
1518729646 409199 14781054263 4107458460
1518729656 409249 14781064965 4133435065
1518729666 409297 14781075667 4158294055
1518729676 409345 14781086369 4184914364
1518729687 409394 14781097071 4208700436
1518729697 409442 14781107773 4234015674
1518729707 409490 14781118475 4259313743
1518729717 409538 14781129177 4284233045
1518729727 409586 14781139879 4308720822
1518729737 409634 14781150581 4332735974
1518729747 409682 14781161283 4357252912
1518729758 409730 14781171985 4381023910
1518729768 409780 14781182687 4405482501
1518729778 409828 14781193389 4429528038
1518729788 409876 14781204091 4452548807
1518729798 409924 14781214793 4476402119
1518729808 409972 14781225495 4501080762
1518729819 410020 14781236197 4524907674
1518729829 410068 14781246899 4548220622
1518729839 410116 14781257601 4572597954
1518729849 410164 14781268303 4594727303
1518729859 410214 14781279005 4617563743
1518729869 410262 14781289707 4639985388
1518729879 410312 14781300409 4662291157
1518729890 410360 14781311111 4684320254
1518729900 410408 14781321813 4706399371
1518729910 410456 14781332515 4728837456
1518729920 410502 14781343217 4750262442
1518729930 410573 14784228960 4753086055
1518729940 410621 14787262141 4753093692
1518729950 410669 14790565625 4753101329
1518729961 410717 14793762626 4753108966
1518729971 410765 14797041537 4753116603
1518729981 410813 14800320448 4753124240
1518729991 410863 14803607552 4753131878
1518730001 410911 14806878276 4753139517
1518730011 410959 14810042517 4753147156
1518730021 411007 14813272286 4753154794
1518730032 411055 14816510246 4753162433
1518730042 411103 14819690869 4753170072
1518730052 411151 14822863301 4753177711
1518730062 411199 14826052115 4753185350
1518730072 411247 14829265502 4753192989
1518730082 411295 14832429743 4753200628
1518730093 411343 14835667703 4753208267
1518730103 411391 14838856517 4753215906
1518730113 411439 14842086286 4753223545
1518730123 411487 14845340628 4753231184
1518730133 411535 14848554015 4753238823
1518730143 411583 14851579009 4753246462
1518730153 411631 14854612194 4753254101
1518730164 411679 14857735480 4753261740
1518730174 411727 14860261244 4753269442
1518730184 411775 14860271950 4753277081
1518730194 411823 14860282656 4753284720
1518730204 411871 14860293362 4753292359
1518730214 411919 14860304068 4753299998
1518730224 411967 14860314774 4753307637
1518730235 412015 14860325480 4753315276
1518730245 412063 14860336186 4753322915
1518730255 412111 14860346892 4753330554
1518730265 412159 14860357598 4753338193
1518730275 412207 14860368304 4753345832
1518730285 412257 14860379010 4753353471
1518730295 412305 14860389716 4753361110
1518730306 412353 14860400422 4753368749
1518730316 412401 14860411128 4753376388
1518730326 412447 14860421834 4753384027
1518730336 412495 14860432540 4753391666
1518730346 412543 14860443246 4753399305
1518730356 412591 14860453952 4753406944
1518730366 412639 14860464658 4753414583
1518730377 412687 14860475364 4753422222
1518730387 412735 14860486072 4753429862
1518730397 412783 14860496780 4753437502
1518730407 412831 14860507488 4753445142
1518730417 412879 14860518196 4753452782
1518730427 412927 14860528904 4753460422
1518730437 412975 14860539612 4753468062
1518730448 413023 14860550320 4753475702
1518730458 413071 14860561028 4753483342
1518730468 413119 14860571736 4753490982
1518730478 413169 14860582444 4753498622
1518730488 413217 14860593152 4753506262
1518730498 413265 14860603860 4753513902
1518730508 413313 14860614568 4753521542
1518730519 413361 14860625276 4753529182
1518730529 413409 14860635984 4753536822
1518730539 413457 14860646692 4753544462
1518730549 413505 14860657400 4753552102
1518730559 413555 14860668108 4753559742
1518730569 413603 14860678816 4753567382
1518730579 413651 14860689524 4753575022
1518730590 413699 14860700232 4753582662
1518730600 413747 14860710940 4753590302
1518730610 413795 14860721648 4753597942
1518730620 413843 14860732356 4753605582
1518730630 413891 14860743064 4753613222
1518730640 413939 14860753772 4753620862
1518730650 413989 14860764480 4753628502
1518730661 414037 14860775188 4753636141
1518730671 414085 14860785896 4753643781
1518730681 414133 14860796604 4753651421
1518730691 414181 14860807312 4753659061
1518730701 414244 14861005863 4753666786
1518730711 414294 14861016571 4753674427
1518730722 414342 14861027279 4753682068
1518730732 414390 14861037987 4753689709
1518730742 414438 14861048695 4753697352
1518730752 414484 14861059403 4753704993
1518730762 414532 14861070111 4753712634
1518730772 414580 14861080819 4753720293
1518730782 414628 14861091527 4753727934
1518730793 414676 14861102235 4753735575
1518730803 414724 14861112943 4753743216
1518730813 414774 14861123651 4753750857
1518730823 414822 14861134359 4753758498
1518730833 414870 14861145067 4753766139
1518730843 414918 14861155775 4753773780
1518730853 414967 14861166483 4753781439
1518730864 415017 14861177191 4753789080
1518730874 415065 14861187899 4753796721
1518730884 415113 14861198607 4753804362
1518730894 415161 14861209315 4753812003
1518730904 415209 14861220023 4753819644
1518730914 415257 14861230731 4753827285
1518730924 415305 14861241439 4753834926
1518730935 415353 14861252147 4753842567
1518730945 415401 14861262855 4753850208
1518730955 415449 14861273563 4753857867
1518730965 415497 14861284271 4753865508
1518730975 415545 14861294979 4753873149
1518730985 415593 14861305687 4753880790
1518730995 415641 14861316395 4753888431
1518731006 415689 14861327103 4753896072
1518731016 415737 14861337811 4753903713
1518731026 415785 14861348519 4753911354
1518731036 415833 14861359227 4753918995
1518731046 415881 14861369935 4753926636
1518731056 415929 14861380643 4753934277
1518731067 415977 14861391351 4753941918
1518731077 416025 14861402059 4753949559
1518731087 416073 14861412767 4753957200
1518731097 416121 14861423475 4753964841
1518731107 416169 14861434183 4753972482
1518731117 416219 14861444891 4753980123
1518731127 416267 14861455599 4753987764
1518731138 416315 14861466307 4753995405
1518731148 416363 14861477015 4754003046
1518731158 416411 14861487723 4754010687
1518731168 416458 14861498431 4754018346
1518731178 416506 14861509139 4754025987
1518731189 416554 14861519847 4754033628
1518731199 416602 14861530555 4754041269
1518731209 416652 14861541263 4754048910
1518731219 416700 14861551971 4754056551
1518731229 416748 14861562679 4754064192
1518731239 416796 14861573387 4754071833
1518731250 416844 14861584095 4754079474
1518731260 416892 14861594803 4754087115
1518731270 416940 14861605511 4754094756
1518731281 416988 14861616219 4754102397
1518731291 417036 14861626927 4754110038
1518731301 417084 14861637635 4754117679
1518731311 417132 14861648343 4754125320
1518731321 417180 14861659051 4754132961
1518731332 417228 14861669759 4754140602
1518731342 417276 14861680467 4754148243
1518731352 417324 14861691175 4754155884
