#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1518729240 23374563 23491925 1774780 95631 23374146 23486872 1775198 100684 92342.34 94655.60 4623.61 3648.41
1518729250 23374602 23492464 1774780 95631 23374185 23487411 1775198 100684 92342.60 94339.64 4622.92 3964.36
1518729260 23374659 23492479 1774780 95631 23374241 23487426 1775198 100684 92339.75 94338.03 4624.72 3966.58
1518729270 23374715 23492497 1774780 95631 23374297 23487444 1775198 100684 92339.56 94335.29 4625.91 3969.31
1518729281 23374778 23492511 1774780 95631 23374361 23487458 1775198 100684 92341.65 94336.94 4623.37 3967.66
1518729291 23374834 23492528 1774780 95631 23374416 23487475 1775198 100684 92340.81 94336.87 4624.12 3967.74
1518729301 23374892 23492539 1774780 95631 23374475 23487486 1775198 100684 92340.33 94335.47 4624.70 3968.53
1518729311 23374950 23492549 1774780 95631 23374532 23487496 1775198 100684 92342.87 94336.48 4623.14 3967.63
1518729321 23375010 23492559 1774780 95631 23374593 23487506 1775198 100684 92342.18 94337.14 4623.35 3966.86
1518729331 23375069 23492571 1774780 95631 23374651 23487518 1775198 100684 92340.59 94340.46 4624.90 3964.15
1518729341 23375131 23492582 1774780 95631 23374713 23487529 1775198 100684 92339.95 94339.18 4625.97 3964.82
1518729352 23375190 23492594 1774780 95631 23374772 23487541 1775198 100684 92342.75 94339.25 4624.31 3965.35
1518729362 23375250 23492604 1774780 95631 23374832 23487551 1775198 100684 92341.74 94338.51 4624.76 3965.60
1518729372 23375309 23492617 1774780 95631 23374891 23487564 1775198 100684 92339.43 94336.54 4626.07 3967.46
1518729382 23375367 23492627 1774780 95631 23374949 23487574 1775198 100684 92341.47 94335.92 4624.59 3968.08
1518729392 23375428 23492637 1774780 95631 23375011 23487584 1775198 100684 92341.59 94337.84 4624.47 3966.75
1518729402 23375487 23492646 1774780 95631 23375070 23487593 1775198 100684 92341.66 94337.21 4624.75 3967.40
1518729412 23375544 23492653 1774780 95631 23375126 23487600 1775198 100684 92339.55 94336.28 4624.88 3967.84
1518729423 23375602 23492665 1774780 95631 23375185 23487612 1775198 100684 92342.48 94336.45 4623.63 3967.55
