time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1518789499        0                 2054              0                 42789367          42745798          0                 1836              191315444659      452328260082      0                 468096           
1518789509        0                 2054              0                 42790981          42747410          0                 1836              191318716571      452433498908      0                 468096           
1518789519        0                 2054              0                 42791104          42747530          0                 1836              191318824752      452434009988      0                 468096           
1518789530        0                 2054              0                 42791182          42747607          0                 1836              191318993361      452434033812      0                 468096           
1518789540        0                 2054              0                 42791275          42747698          0                 1836              191319404482      452434062940      0                 468096           
1518789552        0                 2054              0                 42791360          42747781          0                 1836              191319492778      452434089852      0                 468096           
1518789562        0                 2054              0                 42791423          42747842          0                 1836              191319587070      452434112812      0                 468096           
1518789572        0                 2054              0                 42791482          42747899          0                 1836              191319675004      452434134868      0                 468096           
1518789582        0                 2054              0                 42791562          42747977          0                 1836              191319781308      452434160284      0                 468096           
1518789592        0                 2054              0                 42791630          42748043          0                 1836              191319869243      452434182916      0                 468096           
1518789602        0                 2054              0                 42791689          42748100          0                 1836              191319957178      452434204972      0                 468096           
1518789612        0                 2054              0                 42791748          42748157          0                 1836              191320045113      452434227028      0                 468096           
1518789623        0                 2054              0                 42791821          42748228          0                 1836              191320156429      452434251996      0                 468096           
1518789633        0                 2054              0                 42792632          42749037          0                 1836              191320413204      452434418556      0                 468096           
1518789643        0                 2054              0                 42792698          42749101          0                 1836              191320501139      452434441060      0                 468096           
1518789653        0                 2054              0                 42792780          42749181          0                 1836              191320611094      452434466604      0                 468096           
1518789664        0                 2054              0                 42792839          42749238          0                 1836              191320699029      452434488660      0                 468096           
1518789674        0                 2054              0                 42792896          42749293          0                 1836              191320786124      452434510212      0                 468096           
1518789684        0                 2054              0                 42792955          42749350          0                 1836              191320874059      452434532268      0                 468096           
1518789694        0                 2054              0                 42793028          42749421          0                 1836              191320989026      452434557236      0                 468096           
1518789704        0                 2054              0                 42793844          42750235          0                 1836              191321244961      452434723740      0                 468096           
1518789715        0                 2054              0                 42793914          42750303          0                 1836              191321335100      452434746788      0                 468096           
1518789725        0                 2054              0                 42793973          42750360          0                 1836              191321423036      452434768844      0                 468096           
1518789735        0                 2054              0                 42794046          42750431          0                 1836              191321538920      452434793812      0                 468096           
1518789745        0                 2054              0                 42794105          42750488          0                 1836              191321626856      452434815868      0                 468096           
1518789755        0                 2054              0                 42794164          42750545          0                 1836              191321714792      452434837924      0                 468096           
1518789766        0                 2054              0                 42794230          42750609          0                 1836              191321802728      452434860428      0                 468096           
1518789776        0                 2054              0                 42795062          42751439          0                 1836              191322083432      452435029972      0                 468096           
1518789786        0                 2054              0                 42795121          42751496          0                 1836              191322171368      452435052028      0                 468096           
1518789796        0                 2054              0                 42795180          42751553          0                 1836              191322259304      452435074084      0                 468096           
1518789806        0                 2054              0                 42795239          42751610          0                 1836              191322347240      452435096140      0                 468096           
1518789816        0                 2054              0                 42795312          42751681          0                 1836              191322464956      452435121108      0                 468096           
1518789826        0                 2054              0                 42795378          42751745          0                 1836              191322552892      452435143612      0                 468096           
1518789837        0                 2054              0                 42795446          42751811          0                 1836              191322640828      452435166244      0                 468096           
1518789847        0                 2054              0                 42795675          42752022          0                 1836              191332408978      452435235956      0                 468096           
1518789857        0                 2054              0                 42796643          42752988          0                 1836              191356691955      452435435132      0                 468096           
1518789867        0                 2054              0                 42796826          42753169          0                 1836              191381433133      452435482892      0                 468096           
1518789877        0                 2054              0                 42797017          42753358          0                 1836              191407826992      452435532316      0                 468096           
1518789887        0                 2054              0                 42797242          42753581          0                 1836              191433109240      452435586508      0                 468096           
1518789897        0                 2054              0                 42797449          42753786          0                 1836              191457986193      452435639348      0                 468096           
1518789908        0                 2054              0                 42797638          42753973          0                 1836              191484332094      452435688444      0                 468096           
1518789918        0                 2054              0                 42797832          42754165          0                 1836              191508789295      452435738564      0                 468096           
1518789928        0                 2054              0                 42798769          42755100          0                 1836              191534278434      452435931372      0                 468096           
1518789938        0                 2054              0                 42798990          42755319          0                 1836              191561215497      452435987124      0                 468096           
1518789948        0                 2054              0                 42799197          42755524          0                 1836              191587099538      452436037660      0                 468096           
1518789958        0                 2054              0                 42799420          42755745          0                 1836              191614653760      452436093828      0                 468096           
1518789968        0                 2054              0                 42799627          42755950          0                 1836              191641594441      452436146668      0                 468096           
1518789979        0                 2054              0                 42799836          42756157          0                 1836              191667699409      452436199924      0                 468096           
1518789989        0                 2054              0                 42800063          42756382          0                 1836              191694408625      452436257012      0                 468096           
1518789999        0                 2054              0                 42800254          42756571          0                 1836              191719893893      452436306524      0                 468096           
1518790009        0                 2054              0                 42801243          42757558          0                 1836              191747577351      452436507780      0                 468096           
1518790019        0                 2054              0                 42801486          42757799          0                 1836              191774420786      452436568284      0                 468096           
1518790029        0                 2054              0                 42801673          42757984          0                 1836              191800877349      452436616876      0                 468096           
1518790039        0                 2054              0                 42801862          42758171          0                 1836              191826789202      452436665884      0                 468096           
1518790050        0                 2054              0                 42802077          42758384          0                 1836              191852782175      452436720300      0                 468096           
1518790060        0                 2054              0                 42802278          42758583          0                 1836              191878502659      452436771892      0                 468096           
1518790070        0                 2054              0                 42802503          42758806          0                 1836              191905445662      452436826172      0                 468096           
1518790080        0                 2054              0                 42803489          42759790          0                 1836              191930688695      452437029356      0                 468096           
1518790090        0                 2054              0                 42803676          42759975          0                 1836              191957310994      452437077948      0                 468096           
1518790100        0                 2054              0                 42803849          42760146          0                 1836              191981065115      452437123628      0                 468096           
1518790110        0                 2054              0                 42804048          42760343          0                 1836              192004649685      452437174716      0                 468096           
1518790121        0                 2054              0                 42804269          42760562          0                 1836              192028056262      452437230732      0                 468096           
1518790131        0                 2054              0                 42804464          42760755          0                 1836              192051588275      452437278684      0                 468096           
1518790141        0                 2054              0                 42804657          42760946          0                 1836              192076419396      452437328524      0                 468096           
1518790151        0                 2054              0                 42805588          42761875          0                 1836              192098669183      452437519964      0                 468096           
1518790161        0                 2054              0                 42805825          42762110          0                 1836              192122736437      452437579308      0                 468096           
1518790171        0                 2054              0                 42805990          42762273          0                 1836              192145448340      452437623324      0                 468096           
1518790181        0                 2054              0                 42806115          42762395          0                 1836              192152933293      452437664420      0                 468096           
1518790192        0                 2054              0                 42806240          42762518          0                 1836              192154264753      452437698076      0                 468096           
1518790202        0                 2054              0                 42806313          42762589          0                 1836              192154378861      452437723044      0                 468096           
1518790212        0                 2054              0                 42806386          42762660          0                 1836              192154487054      452437748012      0                 468096           
1518790222        0                 2054              0                 42806459          42762731          0                 1836              192154597524      452437772980      0                 468096           
1518790232        0                 2054              0                 42807275          42763545          0                 1836              192154876703      452437940604      0                 468096           
1518790242        0                 2054              0                 42807348          42763616          0                 1836              192154987631      452437965572      0                 468096           
1518790253        0                 2054              0                 42807421          42763687          0                 1836              192155074727      452437988148      0                 468096           
1518790263        0                 2054              0                 42807478          42763742          0                 1836              192155161823      452438009700      0                 468096           
1518790273        0                 2054              0                 42807535          42763797          0                 1836              192155248920      452438031252      0                 468096           
1518790283        0                 2054              0                 42807608          42763868          0                 1836              192155368957      452438056220      0                 468096           
1518790293        0                 2054              0                 42807667          42763925          0                 1836              192155456894      452438078276      0                 468096           
1518790303        0                 2054              0                 42808476          42764732          0                 1836              192155712831      452438244332      0                 468096           
1518790314        0                 2054              0                 42808551          42764805          0                 1836              192155800768      452438267412      0                 468096           
1518790324        0                 2054              0                 42808624          42764876          0                 1836              192155913529      452438292380      0                 468096           
1518790334        0                 2054              0                 42808683          42764933          0                 1836              192156001466      452438314436      0                 468096           
1518790344        0                 2054              0                 42808742          42764990          0                 1836              192156089403      452438336492      0                 468096           
1518790354        0                 2054              0                 42808801          42765047          0                 1836              192156177340      452438358548      0                 468096           
1518790364        0                 2054              0                 42808874          42765118          0                 1836              192156291017      452438383516      0                 468096           
1518790374        0                 2054              0                 42808949          42765191          0                 1836              192156378954      452438406596      0                 468096           
1518790385        0                 2054              0                 42809757          42765997          0                 1836              192156634667      452438572460      0                 468096           
1518790395        0                 2054              0                 42809816          42766054          0                 1836              192156722604      452438594516      0                 468096           
1518790405        0                 2054              0                 42809889          42766125          0                 1836              192156833101      452438619484      0                 468096           
1518790415        0                 2054              0                 42809948          42766182          0                 1836              192156921038      452438641540      0                 468096           
1518790425        0                 2054              0                 42810007          42766239          0                 1836              192157008975      452438663596      0                 468096           
1518790435        0                 2054              0                 42810082          42766312          0                 1836              192157096912      452438686676      0                 468096           
1518790445        0                 2054              0                 42810155          42766383          0                 1836              192157212421      452438711644      0                 468096           
1518790456        0                 2054              0                 42810964          42767190          0                 1836              192157468358      452438877700      0                 468096           
