time              msgs_alloc        msgs_max          errors            send_count        recv_count        route_count       drop_count        send_length       recv_length       route_length      drop_length      
1519682625        0                 2509              0                 14494833          15439315          0                 1                 1051743867945     765918793197      0                 192              
1519682635        0                 2509              0                 14495812          15440291          0                 1                 1051747485252     765941073979      0                 192              
1519682645        0                 2509              0                 14495887          15440364          0                 1                 1051747582842     765941099331      0                 192              
1519682655        0                 2509              0                 14495970          15440445          0                 1                 1051747684713     765941126739      0                 192              
1519682665        0                 2509              0                 14496064          15440537          0                 1                 1051747787049     765941155739      0                 192              
1519682675        0                 2509              0                 14496138          15440609          0                 1                 1051747887242     765941180899      0                 192              
1519682685        0                 2509              0                 14496232          15440701          0                 1                 1051747991068     765941208403      0                 192              
1519682696        0                 2509              0                 14496306          15440773          0                 1                 1051748091856     765941233563      0                 192              
1519682706        0                 2509              0                 14496380          15440845          0                 1                 1051748194997     765941258723      0                 192              
1519682716        0                 2509              0                 14496453          15440916          0                 1                 1051748300147     765941283691      0                 192              
1519682726        0                 2509              0                 14496542          15441003          0                 1                 1051748407706     765941312563      0                 192              
1519682736        0                 2509              0                 14496622          15441081          0                 1                 1051748515354     765941339187      0                 192              
1519682746        0                 2509              0                 14497476          15441933          0                 1                 1051748791131     765941512507      0                 192              
1519682756        0                 2509              0                 14497549          15442004          0                 1                 1051748897469     765941537475      0                 192              
1519682767        0                 2509              0                 14497628          15442081          0                 1                 1051749008160     765941564147      0                 192              
1519682777        0                 2509              0                 14497702          15442153          0                 1                 1051749115420     765941589307      0                 192              
1519682787        0                 2509              0                 14497775          15442224          0                 1                 1051749224697     765941614275      0                 192              
1519682797        0                 2509              0                 14497851          15442298          0                 1                 1051749335605     765941639851      0                 192              
1519682807        0                 2509              0                 14497941          15442386          0                 1                 1051749441708     765941666035      0                 192              
1519682817        0                 2509              0                 14498770          15443213          0                 1                 1051749715076     765941836155      0                 192              
1519682828        0                 2509              0                 14498843          15443284          0                 1                 1051749821445     765941861123      0                 192              
1519682838        0                 2509              0                 14498917          15443356          0                 1                 1051749926407     765941886283      0                 192              
