TIMESTAMP        home1-RQ         home1-RD         home1-WR         work-RQ          work-RD          work-WR          scratch-RQ       scratch-RD       scratch-WR       spur-RQ          spur-RD          spur-WR          
1519682625        57301            630240154         1109643255       106262            4851368890       10016371605       1652143          678991768213      1036388426508    6848              0                0                 0                
1519682635        57630            630686056         1109643255       106350            4854405674       10019506445       1652143          678991768213      1036388426508    6848              0                0                 0                
1519682645        57630            630686056         1109643255       106398            4854416374       10019514140       1652145          678991768213      1036388426508    6848              0                0                 0                
1519682655        57630            630686056         1109643255       106446            4854427074       10019521835       1652150          678991768213      1036388426508    6848              0                0                 0                
1519682665        57631            630686056         1109643255       106494            4854437774       10019529530       1652151          678991768213      1036388426508    6848              0                0                 0                
1519682675        57631            630686056         1109643255       106542            4854448474       10019537225       1652152          678991768213      1036388426508    6848              0                0                 0                
1519682685        57631            630686056         1109643255       106592            4854459176       10019544921       1652153          678991768213      1036388426508    6848              0                0                 0                
1519682696        57631            630686056         1109643255       106640            4854469878       10019552617       1652154          678991768213      1036388426508    6848              0                0                 0                
1519682706        57631            630686056         1109643255       106688            4854480580       10019560313       1652155          678991768213      1036388426508    6848              0                0                 0                
1519682716        57631            630686056         1109643255       106736            4854491282       10019568009       1652155          678991768213      1036388426508    6848              0                0                 0                
1519682726        57631            630686056         1109643255       106792            4854501984       10019575705       1652155          678991768213      1036388426508    6848              0                0                 0                
1519682736        57634            630686056         1109643255       106840            4854512686       10019583401       1652156          678991768213      1036388426508    6848              0                0                 0                
1519682746        57635            630686056         1109643255       106890            4854523388       10019591097       1652158          678991768213      1036388426508    6850              0                0                 0                
1519682756        57635            630686056         1109643255       106938            4854534090       10019598793       1652158          678991768213      1036388426508    6850              0                0                 0                
1519682767        57635            630686056         1109643255       106988            4854544792       10019606489       1652159          678991768213      1036388426508    6850              0                0                 0                
1519682777        57635            630686056         1109643255       107036            4854555494       10019614185       1652160          678991768213      1036388426508    6850              0                0                 0                
1519682787        57635            630686056         1109643255       107084            4854566196       10019621881       1652160          678991768213      1036388426508    6850              0                0                 0                
1519682797        57635            630686056         1109643255       107132            4854576898       10019629588       1652161          678991768213      1036388426508    6850              0                0                 0                
1519682807        57635            630686056         1109643255       107180            4854587600       10019637284       1652162          678991768213      1036388426508    6850              0                0                 0                
1519682817        57637            630686056         1109643255       107228            4854598302       10019644980       1652165          678991768213      1036388426508    6852              0                0                 0                
1519682827        57637            630686056         1109643255       107276            4854609004       10019652676       1652165          678991768213      1036388426508    6852              0                0                 0                
1519682838        57637            630686056         1109643255       107324            4854619706       10019660372       1652166          678991768213      1036388426508    6852              0                0                 0                
1519682848        57637            630686056         1109643255       107372            4854630408       10019668068       1652166          678991768213      1036388426508    6852              0                0                 0                
1519682858        57637            630686056         1109643255       107420            4854641110       10019675764       1652166          678991768213      1036388426508    6852              0                0                 0                
1519682868        57637            630686056         1109643255       107468            4854651812       10019683460       1652167          678991768213      1036388426508    6852              0                0                 0                
1519682878        57637            630686056         1109643255       107516            4854662514       10019691156       1652168          678991768213      1036388426508    6852              0                0                 0                
1519682888        57637            630686056         1109643255       107564            4854673216       10019698852       1652168          678991768213      1036388426508    6852              0                0                 0                
1519682899        57639            630686056         1109643255       107612            4854683918       10019706548       1652171          678991768213      1036388426508    6854              0                0                 0                
1519682909        57639            630686056         1109643255       107662            4854694620       10019714244       1652172          678991768213      1036388426508    6854              0                0                 0                
1519682919        57639            630686056         1109643255       107710            4854705322       10019721940       1652172          678991768213      1036388426508    6854              0                0                 0                
1519682929        57639            630686056         1109643255       107758            4854716024       10019729636       1652172          678991768213      1036388426508    6854              0                0                 0                
1519682939        57639            630686056         1109643255       107822            4854726726       10037400623       1652173          678991768213      1036388426508    6854              0                0                 0                
1519682950        57639            630686056         1109643255       107870            4854737430       10066964635       1652174          678991768213      1036388426508    6854              0                0                 0                
1519682960        57639            630686056         1109643255       107916            4854748134       10096166737       1652174          678991768213      1036388426508    6854              0                0                 0                
1519682970        57641            630686056         1109643255       107962            4854758838       10125670527       1652177          678991768213      1036388426508    6856              0                0                 0                
1519682980        57641            630686056         1109643255       108010            4854769542       10155738015       1652178          678991768213      1036388426508    6856              0                0                 0                
1519682990        57641            630686056         1109643255       108058            4854780246       10185655016       1652179          678991768213      1036388426508    6856              0                0                 0                
1519683000        57641            630686056         1109643255       108108            4854790950       10215580547       1652179          678991768213      1036388426508    6856              0                0                 0                
1519683010        57641            630686056         1109643255       108164            4854801654       10245107166       1652180          678991768213      1036388426508    6856              0                0                 0                
1519683021        57641            630686056         1109643255       108210            4854812358       10273255416       1652181          678991768213      1036388426508    6856              0                0                 0                
1519683031        57641            630686056         1109643255       108260            4854823062       10302436121       1652181          678991768213      1036388426508    6856              0                0                 0                
1519683041        57643            630686056         1109643255       108309            4854833766       10331105000       1652184          678991768213      1036388426508    6858              0                0                 0                
1519683051        57643            630686056         1109643255       108355            4854844470       10360709660       1652185          678991768213      1036388426508    6858              0                0                 0                
1519683061        57643            630686056         1109643255       108405            4854855174       10389985329       1652185          678991768213      1036388426508    6858              0                0                 0                
1519683071        57643            630686056         1109643255       108453            4854865878       10418597987       1652185          678991768213      1036388426508    6858              0                0                 0                
1519683082        57643            630686056         1109643255       108499            4854876582       10446481215       1652186          678991768213      1036388426508    6858              0                0                 0                
1519683092        57643            630686056         1109643255       108549            4854887292       10473794333       1652187          678991768213      1036388426508    6858              0                0                 0                
1519683102        57643            630686056         1109643255       108597            4854897996       10500175634       1652187          678991768213      1036388426508    6858              0                0                 0                
1519683112        57643            630686056         1109643255       108643            4854908700       10526345743       1652188          678991768213      1036388426508    6858              0                0                 0                
1519683122        57645            630686056         1109643255       108693            4854919404       10553097297       1652192          678991768213      1036388426508    6860              0                0                 0                
1519683132        57645            630686056         1109643255       108741            4854930108       10578291539       1652192          678991768213      1036388426508    6860              0                0                 0                
1519683142        57645            630686056         1109643255       108789            4854940812       10603732824       1652192          678991768213      1036388426508    6860              0                0                 0                
1519683153        57645            630686056         1109643255       108837            4854951516       10630347415       1652193          678991768213      1036388426508    6860              0                0                 0                
1519683163        57645            630686056         1109643255       108885            4854962220       10656643042       1652194          678991768213      1036388426508    6860              0                0                 0                
1519683173        57645            630686056         1109643255       108933            4854972924       10683598991       1652194          678991768213      1036388426508    6860              0                0                 0                
1519683183        57645            630686056         1109643255       108981            4854983628       10710832306       1652195          678991768213      1036388426508    6860              0                0                 0                
1519683193        57647            630686056         1109643255       109027            4854994332       10735509201       1652199          678991768213      1036388426508    6862              0                0                 0                
1519683203        57648            630686056         1109643255       109079            4855005036       10760125125       1652199          678991768213      1036388426508    6862              0                0                 0                
1519683213        57648            630686056         1109643255       109127            4855015740       10785616928       1652199          678991768213      1036388426508    6862              0                0                 0                
1519683224        57648            630686056         1109643255       109175            4855026444       10810364992       1652200          678991768213      1036388426508    6862              0                0                 0                
1519683235        57648            630686056         1109643255       109245            4855274687       10832800685       1652200          678991768213      1036388426508    6862              0                0                 0                
1519683245        57648            630686056         1109643255       109293            4858225960       10832808382       1652200          678991768213      1036388426508    6862              0                0                 0                
1519683255        57648            630686056         1109643255       109341            4861185424       10832816079       1652201          678991768213      1036388426508    6862              0                0                 0                
1519683266        57649            630686056         1109643255       109389            4864415191       10832823776       1652205          678991768213      1036388426508    6864              0                0                 0                
1519683276        57649            630686056         1109643255       109437            4867309127       10832831473       1652205          678991768213      1036388426508    6864              0                0                 0                
1519683286        57649            630686056         1109643255       109485            4870276782       10832839170       1652206          678991768213      1036388426508    6864              0                0                 0                
1519683296        57649            630686056         1109643255       109533            4873236246       10832846867       1652206          678991768213      1036388426508    6864              0                0                 0                
1519683306        57649            630686056         1109643255       109581            4876121991       10832854564       1652206          678991768213      1036388426508    6864              0                0                 0                
1519683318        57649            630686056         1109643255       109629            4879343567       10832862261       1652206          678991768213      1036388426508    6864              0                0                 0                
1519683328        57649            630686056         1109643255       109677            4882343986       10832869958       1652206          678991768213      1036388426508    6864              0                0                 0                
1519683338        57649            630686056         1109643255       109725            4885270686       10832877655       1652206          678991768213      1036388426508    6864              0                0                 0                
1519683348        57651            630686056         1109643255       109773            4888312060       10832885352       1652209          678991768213      1036388426508    6866              0                0                 0                
1519683358        57651            630686056         1109643255       109821            4891296097       10832893049       1652209          678991768213      1036388426508    6866              0                0                 0                
1519683368        57651            630686056         1109643255       109869            4894280136       10832900747       1652209          678991768213      1036388426508    6866              0                0                 0                
1519683378        57651            630686056         1109643255       109917            4897346085       10832908445       1652210          678991768213      1036388426508    6866              0                0                 0                
1519683389        57651            630686056         1109643255       109965            4900362888       10832916143       1652210          678991768213      1036388426508    6866              0                0                 0                
1519683399        57651            630686056         1109643255       110013            4903518938       10832923841       1652210          678991768213      1036388426508    6866              0                0                 0                
1519683409        57651            630686056         1109643255       110061            4906560314       10832931539       1652211          678991768213      1036388426508    6866              0                0                 0                
1519683419        57653            630686056         1109643255       110109            4909511589       10832939237       1652215          678991768213      1036388426508    6868              0                0                 0                
1519683430        57653            630686056         1109643255       110157            4912561156       10832946935       1652215          678991768213      1036388426508    6868              0                0                 0                
1519683440        57653            630686056         1109643255       110205            4915520622       10832954633       1652216          678991768213      1036388426508    6868              0                0                 0                
1519683450        57653            630686056         1109643255       110253            4918406369       10832962331       1652217          678991768213      1036388426508    6868              0                0                 0                
1519683460        57653            630686056         1109643255       110301            4921349453       10832970029       1652217          678991768213      1036388426508    6868              0                0                 0                
1519683470        57653            630686056         1109643255       110349            4924333492       10832977727       1652217          678991768213      1036388426508    6868              0                0                 0                
1519683480        57653            630686056         1109643255       110397            4927235621       10832985425       1652218          678991768213      1036388426508    6868              0                0                 0                
1519683490        57655            630686056         1109643255       110445            4930260615       10832993123       1652221          678991768213      1036388426508    6870              0                0                 0                
1519683501        57655            630686056         1109643255       110493            4933187317       10833000821       1652221          678991768213      1036388426508    6870              0                0                 0                
1519683511        57655            630686056         1109643255       110541            4934151510       10833008582       1652222          678991768213      1036388426508    6870              0                0                 0                
1519683521        57655            630686056         1109643255       110589            4934162216       10833016280       1652223          678991768213      1036388426508    6870              0                0                 0                
1519683531        57655            630686056         1109643255       110637            4934172922       10833023978       1652223          678991768213      1036388426508    6870              0                0                 0                
1519683541        57655            630686056         1109643255       110685            4934183628       10833031676       1652224          678991768213      1036388426508    6870              0                0                 0                
1519683551        57655            630686056         1109643255       110733            4934194334       10833039374       1652225          678991768213      1036388426508    6870              0                0                 0                
1519683561        57655            630686056         1109643255       110781            4934205040       10833047072       1652225          678991768213      1036388426508    6870              0                0                 0                
1519683572        57657            630686056         1109643255       110829            4934215746       10833054770       1652228          678991768213      1036388426508    6872              0                0                 0                
1519683582        57657            630686056         1109643255       110877            4934226452       10833062468       1652229          678991768213      1036388426508    6872              0                0                 0                
1519683592        57657            630686056         1109643255       110925            4934237158       10833070166       1652230          678991768213      1036388426508    6872              0                0                 0                
1519683602        57657            630686056         1109643255       110973            4934247864       10833077864       1652230          678991768213      1036388426508    6872              0                0                 0                
1519683612        57657            630686056         1109643255       111021            4934258570       10833085562       1652231          678991768213      1036388426508    6872              0                0                 0                
1519683622        57657            630686056         1109643255       111069            4934269276       10833093260       1652232          678991768213      1036388426508    6872              0                0                 0                
1519683633        57657            630686056         1109643255       111117            4934279982       10833100958       1652232          678991768213      1036388426508    6872              0                0                 0                
1519683643        57659            630686056         1109643255       111165            4934290688       10833108656       1652235          678991768213      1036388426508    6874              0                0                 0                
1519683653        57659            630686056         1109643255       111213            4934301394       10833116354       1652236          678991768213      1036388426508    6874              0                0                 0                
1519683663        57659            630686056         1109643255       111261            4934312100       10833124052       1652237          678991768213      1036388426508    6874              0                0                 0                
1519683673        57659            630686056         1109643255       111309            4934322806       10833131750       1652237          678991768213      1036388426508    6874              0                0                 0                
1519683683        57659            630686056         1109643255       111357            4934333512       10833139448       1652237          678991768213      1036388426508    6874              0                0                 0                
1519683693        57659            630686056         1109643255       111405            4934344218       10833147146       1652238          678991768213      1036388426508    6874              0                0                 0                
1519683704        57659            630686056         1109643255       111453            4934354924       10833154844       1652238          678991768213      1036388426508    6874              0                0                 0                
1519683714        57659            630686056         1109643255       111501            4934365630       10833162542       1652238          678991768213      1036388426508    6874              0                0                 0                
1519683724        57661            630686056         1109643255       111549            4934376336       10833170240       1652242          678991768213      1036388426508    6876              0                0                 0                
1519683734        57661            630686056         1109643255       111597            4934387042       10833177938       1652243          678991768213      1036388426508    6876              0                0                 0                
1519683744        57661            630686056         1109643255       111645            4934397748       10833185636       1652243          678991768213      1036388426508    6876              0                0                 0                
1519683754        57661            630686056         1109643255       111693            4934408454       10833193334       1652243          678991768213      1036388426508    6876              0                0                 0                
1519683764        57661            630686056         1109643255       111741            4934419160       10833201032       1652244          678991768213      1036388426508    6876              0                0                 0                
1519683775        57661            630686056         1109643255       111789            4934429866       10833208730       1652245          678991768213      1036388426508    6876              0                0                 0                
1519683785        57661            630686056         1109643255       111837            4934440572       10833216428       1652245          678991768213      1036388426508    6876              0                0                 0                
1519683795        57663            630686056         1109643255       111885            4934451278       10833224126       1652249          678991768213      1036388426508    6878              0                0                 0                
1519683805        57663            630686056         1109643255       111933            4934461984       10833231824       1652250          678991768213      1036388426508    6878              0                0                 0                
1519683815        57663            630686056         1109643255       111981            4934472690       10833239522       1652250          678991768213      1036388426508    6878              0                0                 0                
1519683825        57663            630686056         1109643255       112029            4934483396       10833247222       1652251          678991768213      1036388426508    6878              0                0                 0                
1519683835        57663            630686056         1109643255       112077            4934494102       10833254920       1652252          678991768213      1036388426508    6878              0                0                 0                
1519683846        57663            630686056         1109643255       112125            4934504808       10833262618       1652252          678991768213      1036388426508    6878              0                0                 0                
1519683856        57663            630686056         1109643255       112173            4934515514       10833270316       1652253          678991768213      1036388426508    6878              0                0                 0                
1519683866        57665            630686056         1109643255       112221            4934526220       10833278014       1652257          678991768213      1036388426508    6880              0                0                 0                
1519683876        57665            630686056         1109643255       112269            4934536926       10833285712       1652257          678991768213      1036388426508    6880              0                0                 0                
1519683886        57665            630686056         1109643255       112317            4934547632       10833293410       1652257          678991768213      1036388426508    6880              0                0                 0                
1519683896        57665            630686056         1109643255       112365            4934558338       10833301108       1652258          678991768213      1036388426508    6880              0                0                 0                
1519683907        57665            630686056         1109643255       112413            4934569044       10833308806       1652259          678991768213      1036388426508    6880              0                0                 0                
1519683917        57665            630686056         1109643255       112461            4934579750       10833316504       1652259          678991768213      1036388426508    6880              0                0                 0                
1519683927        57665            630686056         1109643255       112509            4934590456       10833324202       1652260          678991768213      1036388426508    6880              0                0                 0                
