TIMESTAMP        work-RQ          work-RD          work-WR          
1519682625 106262 4851368890 10016371605
1519682635 106350 4854405674 10019506445
1519682645 106398 4854416374 10019514140
1519682655 106446 4854427074 10019521835
1519682665 106494 4854437774 10019529530
1519682675 106542 4854448474 10019537225
1519682685 106592 4854459176 10019544921
1519682696 106640 4854469878 10019552617
1519682706 106688 4854480580 10019560313
1519682716 106736 4854491282 10019568009
1519682726 106792 4854501984 10019575705
1519682736 106840 4854512686 10019583401
1519682746 106890 4854523388 10019591097
1519682756 106938 4854534090 10019598793
1519682767 106988 4854544792 10019606489
1519682777 107036 4854555494 10019614185
1519682787 107084 4854566196 10019621881
1519682797 107132 4854576898 10019629588
1519682807 107180 4854587600 10019637284
1519682817 107228 4854598302 10019644980
1519682827 107276 4854609004 10019652676
1519682838 107324 4854619706 10019660372
1519682848 107372 4854630408 10019668068
1519682858 107420 4854641110 10019675764
1519682868 107468 4854651812 10019683460
1519682878 107516 4854662514 10019691156
1519682888 107564 4854673216 10019698852
1519682899 107612 4854683918 10019706548
1519682909 107662 4854694620 10019714244
1519682919 107710 4854705322 10019721940
1519682929 107758 4854716024 10019729636
1519682939 107822 4854726726 10037400623
1519682950 107870 4854737430 10066964635
1519682960 107916 4854748134 10096166737
1519682970 107962 4854758838 10125670527
1519682980 108010 4854769542 10155738015
1519682990 108058 4854780246 10185655016
1519683000 108108 4854790950 10215580547
1519683010 108164 4854801654 10245107166
1519683021 108210 4854812358 10273255416
1519683031 108260 4854823062 10302436121
1519683041 108309 4854833766 10331105000
1519683051 108355 4854844470 10360709660
1519683061 108405 4854855174 10389985329
1519683071 108453 4854865878 10418597987
1519683082 108499 4854876582 10446481215
1519683092 108549 4854887292 10473794333
1519683102 108597 4854897996 10500175634
1519683112 108643 4854908700 10526345743
1519683122 108693 4854919404 10553097297
1519683132 108741 4854930108 10578291539
1519683142 108789 4854940812 10603732824
1519683153 108837 4854951516 10630347415
1519683163 108885 4854962220 10656643042
1519683173 108933 4854972924 10683598991
1519683183 108981 4854983628 10710832306
1519683193 109027 4854994332 10735509201
1519683203 109079 4855005036 10760125125
1519683213 109127 4855015740 10785616928
1519683224 109175 4855026444 10810364992
1519683235 109245 4855274687 10832800685
1519683245 109293 4858225960 10832808382
1519683255 109341 4861185424 10832816079
1519683266 109389 4864415191 10832823776
1519683276 109437 4867309127 10832831473
1519683286 109485 4870276782 10832839170
1519683296 109533 4873236246 10832846867
1519683306 109581 4876121991 10832854564
1519683318 109629 4879343567 10832862261
1519683328 109677 4882343986 10832869958
1519683338 109725 4885270686 10832877655
1519683348 109773 4888312060 10832885352
1519683358 109821 4891296097 10832893049
1519683368 109869 4894280136 10832900747
1519683378 109917 4897346085 10832908445
1519683389 109965 4900362888 10832916143
1519683399 110013 4903518938 10832923841
1519683409 110061 4906560314 10832931539
1519683419 110109 4909511589 10832939237
1519683430 110157 4912561156 10832946935
1519683440 110205 4915520622 10832954633
1519683450 110253 4918406369 10832962331
1519683460 110301 4921349453 10832970029
1519683470 110349 4924333492 10832977727
1519683480 110397 4927235621 10832985425
1519683490 110445 4930260615 10832993123
1519683501 110493 4933187317 10833000821
1519683511 110541 4934151510 10833008582
1519683521 110589 4934162216 10833016280
1519683531 110637 4934172922 10833023978
1519683541 110685 4934183628 10833031676
1519683551 110733 4934194334 10833039374
1519683561 110781 4934205040 10833047072
1519683572 110829 4934215746 10833054770
1519683582 110877 4934226452 10833062468
1519683592 110925 4934237158 10833070166
1519683602 110973 4934247864 10833077864
1519683612 111021 4934258570 10833085562
1519683622 111069 4934269276 10833093260
1519683633 111117 4934279982 10833100958
1519683643 111165 4934290688 10833108656
1519683653 111213 4934301394 10833116354
1519683663 111261 4934312100 10833124052
1519683673 111309 4934322806 10833131750
1519683683 111357 4934333512 10833139448
1519683693 111405 4934344218 10833147146
1519683704 111453 4934354924 10833154844
1519683714 111501 4934365630 10833162542
1519683724 111549 4934376336 10833170240
1519683734 111597 4934387042 10833177938
