#TIME Node0_NumHit Node1_NumHit Node0_NumMiss Node1_NumMiss Node0_Local Node1_Local Node0_Other Node1_Other Node0_Free Node1_Free Node0_Used Node1_Used
1519682624 3157685 1747774 0 3866338 3157464 1747417 221 3866694 93209.32 94035.01 3756.21 4269.64
1519682635 3157828 1747851 0 3866338 3157608 1747495 221 3866694 93093.99 94032.02 3871.43 4272.97
1519682645 3157849 1747910 0 3866338 3157628 1747554 221 3866694 93087.99 94034.58 3877.50 4270.09
1519682655 3157864 1747975 0 3866338 3157643 1747619 221 3866694 93089.78 94034.20 3875.15 4269.82
1519682665 3157876 1748039 0 3866338 3157655 1747683 221 3866694 93089.54 94034.97 3876.48 4269.03
1519682675 3157887 1748103 0 3866338 3157666 1747746 221 3866694 93088.60 94035.85 3876.33 4268.71
1519682685 3157898 1748168 0 3866338 3157677 1747812 221 3866694 93090.17 94037.12 3875.25 4266.91
1519682696 3157911 1748232 0 3866338 3157690 1747876 221 3866694 93091.46 94035.92 3873.96 4268.10
1519682706 3157922 1748299 0 3866338 3157701 1747942 221 3866694 93092.12 94036.08 3873.90 4267.99
1519682716 3157935 1748362 0 3866338 3157714 1748006 221 3866694 93091.59 94036.99 3874.44 4267.05
1519682726 3157957 1748426 0 3866338 3157736 1748070 221 3866694 93090.21 94037.80 3875.32 4266.34
1519682736 3157971 1748492 0 3866338 3157750 1748136 221 3866694 93091.62 94036.82 3873.31 4267.23
1519682746 3157987 1748556 0 3866338 3157766 1748200 221 3866694 93090.34 94038.87 3874.59 4265.23
1519682756 3157997 1748622 0 3866338 3157776 1748266 221 3866694 93090.36 94036.85 3875.06 4267.15
1519682767 3158008 1748688 0 3866338 3157787 1748332 221 3866694 93091.90 94037.81 3874.13 4266.22
1519682777 3158020 1748752 0 3866338 3157799 1748395 221 3866694 93090.32 94037.50 3875.10 4266.18
1519682787 3158031 1748817 0 3866338 3157810 1748461 221 3866694 93088.50 94034.81 3876.43 4269.29
1519682797 3158044 1748882 0 3866338 3157823 1748525 221 3866694 93090.66 94037.25 3875.37 4266.26
1519682807 3158055 1748945 0 3866338 3157834 1748589 221 3866694 93091.11 94037.71 3874.31 4266.43
1519682817 3158068 1749012 0 3866338 3157847 1748655 221 3866694 93092.55 94036.81 3873.48 4267.85
1519682827 3158081 1749076 0 3866338 3157860 1748720 221 3866694 93092.70 94037.66 3873.24 4266.87
1519682838 3158093 1749141 0 3866338 3157871 1748785 221 3866694 93093.09 94036.74 3872.33 4267.35
1519682848 3158102 1749205 0 3866338 3157881 1748848 221 3866694 93092.06 94034.16 3872.87 4269.46
1519682858 3158117 1749270 0 3866338 3157896 1748913 221 3866694 93093.18 94038.51 3872.85 4266.03
1519682868 3158128 1749334 0 3866338 3157907 1748977 221 3866694 93092.61 94038.25 3872.93 4266.89
1519682878 3158138 1749399 0 3866338 3157917 1749043 221 3866694 93092.26 94037.93 3873.76 4267.20
1519682888 3158152 1749466 0 3866338 3157931 1749110 221 3866694 93094.11 94039.80 3871.92 4264.88
1519682899 3158164 1749530 0 3866338 3157943 1749173 221 3866694 93094.10 94039.07 3870.83 4265.05
1519682909 3158174 1749593 0 3866338 3157953 1749237 221 3866694 93094.02 94036.58 3872.01 4267.41
1519682919 3158185 1749659 0 3866338 3157964 1749302 221 3866694 93094.95 94037.78 3870.47 4265.73
1519682929 3158198 1749727 0 3866338 3157977 1749371 221 3866694 93095.53 94039.45 3869.89 4265.11
1519682939 3158227 1749794 0 3866338 3158006 1749438 221 3866694 93079.42 94038.11 3886.00 4267.05
1519682950 3158268 1749858 0 3866338 3158047 1749501 221 3866694 93050.21 94038.25 3914.72 4266.30
1519682960 3158306 1749923 0 3866338 3158085 1749567 221 3866694 93023.67 94038.92 3941.75 4265.82
1519682970 3158346 1749988 0 3866338 3158125 1749632 221 3866694 92995.51 94038.18 3969.42 4265.32
1519682980 3158389 1750052 0 3866338 3158168 1749696 221 3866694 92967.46 94040.41 3998.57 4264.73
1519682990 3158430 1750116 0 3866338 3158209 1749760 221 3866694 92939.12 94039.95 4026.91 4264.18
1519683000 3158471 1750183 0 3866338 3158250 1749827 221 3866694 92909.84 94040.21 4055.58 4264.89
1519683010 3158511 1750249 0 3866338 3158290 1749893 221 3866694 92882.27 94039.50 4083.76 4264.01
1519683021 3158548 1750312 0 3866338 3158327 1749956 221 3866694 92854.77 94036.21 4111.26 4267.87
1519683031 3158591 1750377 0 3866338 3158370 1750021 221 3866694 92826.49 94039.73 4139.54 4264.93
1519683041 3158630 1750442 0 3866338 3158409 1750086 221 3866694 92799.58 94039.82 4165.84 4264.20
1519683051 3158671 1750507 0 3866338 3158450 1750151 221 3866694 92770.48 94039.26 4194.94 4264.25
1519683061 3158713 1750572 0 3866338 3158492 1750216 221 3866694 92738.74 94040.91 4226.68 4263.10
1519683071 3158754 1750637 0 3866338 3158532 1750281 221 3866694 92707.96 94040.24 4257.46 4263.77
1519683081 3158790 1750700 0 3866338 3158569 1750343 221 3866694 92677.76 94035.57 4288.80 4268.03
1519683092 3158828 1750764 0 3866338 3158607 1750407 221 3866694 92647.17 94037.14 4318.86 4267.36
1519683102 3158866 1750833 0 3866338 3158645 1750477 221 3866694 92620.11 94040.16 4345.31 4264.00
1519683112 3158903 1750897 0 3866338 3158682 1750540 221 3866694 92591.75 94039.34 4374.27 4264.75
1519683122 3158941 1750962 0 3866338 3158720 1750606 221 3866694 92562.87 94039.41 4402.80 4264.05
1519683132 3158977 1751028 0 3866338 3158756 1750671 221 3866694 92536.44 94039.73 4429.59 4264.97
1519683142 3159016 1751090 0 3866338 3158795 1750734 221 3866694 92508.30 94039.32 4457.12 4264.73
1519683153 3159052 1751155 0 3866338 3158831 1750798 221 3866694 92479.29 94038.79 4486.74 4265.31
1519683163 3159090 1751220 0 3866338 3158869 1750864 221 3866694 92451.93 94037.67 4514.09 4266.87
1519683173 3159130 1751284 0 3866338 3158909 1750928 221 3866694 92421.83 94038.72 4543.59 4265.80
1519683183 3159167 1751351 0 3866338 3158946 1750995 221 3866694 92392.88 94039.24 4572.54 4264.86
1519683193 3159204 1751414 0 3866338 3158983 1751058 221 3866694 92366.42 94038.36 4599.00 4265.64
1519683203 3159240 1751480 0 3866338 3159019 1751124 221 3866694 92341.19 94039.36 4624.23 4264.15
1519683213 3159278 1751545 0 3866338 3159056 1751189 221 3866694 92313.60 94040.18 4652.42 4264.46
1519683224 3159313 1751613 0 3866338 3159092 1751256 221 3866694 92287.33 94041.93 4678.09 4262.14
1519683235 3159366 1751674 0 3866338 3159145 1751317 221 3866694 88924.65 94041.73 8040.77 4262.29
1519683245 3159376 1751738 0 3866338 3159155 1751382 221 3866694 88923.45 94038.07 8042.09 4265.54
1519683255 3159389 1751804 0 3866338 3159168 1751448 221 3866694 88923.89 94040.46 8042.14 4263.04
1519683266 3159403 1751866 0 3866338 3159182 1751510 221 3866694 88922.71 94039.55 8042.71 4265.04
1519683276 3159415 1751935 0 3866338 3159194 1751578 221 3866694 88924.46 94039.96 8040.96 4263.67
1519683286 3159426 1751998 0 3866338 3159204 1751642 221 3866694 88924.83 94039.98 8040.59 4264.07
1519683296 3159437 1752061 0 3866338 3159215 1751705 221 3866694 88923.66 94036.07 8041.77 4268.42
1519683306 3159449 1752125 0 3866338 3159228 1751769 221 3866694 88922.93 94038.23 8042.00 4265.32
1519683317 3159463 1752191 0 3866338 3159242 1751835 221 3866694 88924.09 94039.85 8041.43 4265.14
1519683328 3159475 1752258 0 3866338 3159254 1751902 221 3866694 88924.21 94039.82 8041.21 4263.68
1519683338 3159486 1752323 0 3866338 3159265 1751966 221 3866694 88925.17 94039.95 8040.25 4265.04
1519683348 3159500 1752387 0 3866338 3159279 1752030 221 3866694 88925.30 94041.13 8040.12 4263.47
