Exp,Pedi,Repl,count
ARH1,A3G-3-3-1-313/3IIH6,2,10
ARH1,LH195/PHZ51,1,10
ARH1,LH195/PHZ51,2,10
ARH1,PHW52/PHM49,1,10
ARH1,PHW52/PHM49,2,10
ARH1,PHW52/PHN82,1,10
ARH1,PHW52/PHN82,2,10
ARH2,2369/3IIH6,1,7
ARH2,2369/3IIH6,2,7
ARH2,2369/LH123HT,1,7
ARH2,2369/LH123HT,2,7
ARH2,2369/PHZ51,1,7
ARH2,2369/PHZ51,2,7
ARH2,2FACC/3IIH6,1,7
ARH2,2FACC/3IIH6,2,7
ARH2,4N506/3IIH6,1,7
ARH2,4N506/3IIH6,2,7
ARH2,6F629/3IIH6,1,7
ARH2,6F629/3IIH6,2,7
ARH2,A632/3IIH6,1,7
ARH2,A632/3IIH6,2,7
ARH2,A634/3IIH6,1,7
ARH2,A634/3IIH6,2,7
ARH2,A635/3IIH6,1,7
ARH2,A635/3IIH6,2,7
ARH2,A679/3IIH6,1,7
ARH2,A679/3IIH6,2,7
ARH2,A680/3IIH6,1,7
ARH2,A680/3IIH6,2,7
ARH2,B104/3IIH6,1,7
ARH2,B104/3IIH6,2,7
ARH2,B105/3IIH6,2,7
ARH2,B109/3IIH6,1,7
ARH2,B109/3IIH6,2,7
ARH2,B110/3IIH6,1,7
ARH2,B110/3IIH6,2,7
ARH2,B111/3IIH6,1,7
ARH2,B111/3IIH6,2,7
ARH2,B119/3IIH6,1,7
ARH2,B119/3IIH6,2,7
ARH2,B14/3IIH6,1,7
ARH2,B14/3IIH6,2,7
ARH2,B14A/H95,1,7
ARH2,B14A/MO17,1,7
ARH2,B14A/MO17,2,7
ARH2,B14A/OH43,1,7
ARH2,B14A/OH43,2,7
ARH2,B2/3IIH6,2,7
ARH2,B37/H95,1,7
ARH2,B37/H95,2,7
ARH2,B37/MO17,1,7
ARH2,B37/MO17,2,7
ARH2,B37/OH43,1,7
ARH2,B37/OH43,2,7
ARH2,B73/3IIH6,1,7
ARH2,B73/3IIH6,2,7
ARH2,B73/MO17,1,7
ARH2,B73/MO17,2,7
ARH2,B73/PHM49,1,7
ARH2,B73/PHM49,2,7
ARH2,B73/PHN82,1,7
ARH2,B73/PHN82,2,7
ARH2,B73/PHZ51,1,7
ARH2,B73/PHZ51,2,7
ARH2,B73/TX6252,1,7
ARH2,B73/TX777,1,7
ARH2,B73/TX777,2,7
ARH2,B84/3IIH6,1,7
ARH2,B84/3IIH6,2,7
ARH2,B97/PHB47,1,7
ARH2,BSSSC0_001/3IIH6,1,7
ARH2,BSSSC0_001/3IIH6,2,7
ARH2,BSSSC0_002/3IIH6,1,7
ARH2,BSSSC0_003/3IIH6,1,7
ARH2,BSSSC0_003/3IIH6,2,7
ARH2,BSSSC0_005/3IIH6,1,7
ARH2,BSSSC0_005/3IIH6,2,7
ARH2,BSSSC0_008/3IIH6,1,7
ARH2,BSSSC0_008/3IIH6,2,7
ARH2,BSSSC0_009/3IIH6,1,7
ARH2,BSSSC0_009/3IIH6,2,7
ARH2,BSSSC0_012/3IIH6,1,7
ARH2,BSSSC0_012/3IIH6,2,7
ARH2,BSSSC0_015/3IIH6,2,7
ARH2,BSSSC0_017/3IIH6,2,7
ARH2,BSSSC0_020/3IIH6,1,7
ARH2,BSSSC0_020/3IIH6,2,7
ARH2,BSSSC0_024/3IIH6,1,7
ARH2,BSSSC0_024/3IIH6,2,7
ARH2,BSSSC0_026/3IIH6,1,7
ARH2,BSSSC0_026/3IIH6,2,7
ARH2,BSSSC0_029/3IIH6,1,7
ARH2,BSSSC0_033/3IIH6,1,7
ARH2,BSSSC0_033/3IIH6,2,7
ARH2,BSSSC0_038/3IIH6,1,7
ARH2,BSSSC0_048/3IIH6,1,7
ARH2,BSSSC0_048/3IIH6,2,7
ARH2,BSSSC0_054/3IIH6,2,7
ARH2,BSSSC0_057/3IIH6,1,7
ARH2,BSSSC0_057/3IIH6,2,7
ARH2,BSSSC0_060/3IIH6,1,7
ARH2,BSSSC0_060/3IIH6,2,7
ARH2,CG102/3IIH6,1,7
ARH2,CG102/3IIH6,2,7
ARH2,CG106/3IIH6,1,7
